Mes;Día;Hora;coeficientes
1;27;21;0,000201786702
1;27;22;0,000203128835
1;27;23;0,000179233041
1;27;24;0,000146088204
1;28;1;0,000120338916
1;28;2;0,000099753921
1;28;3;0,000088241372
1;28;4;0,000082447475
1;28;5;0,000080555591
1;28;6;0,000083103185
1;28;7;0,000095217697
1;28;8;0,000120779639
1;28;9;0,000132410430
1;28;10;0,000138537557
1;28;11;0,000144750678
1;28;12;0,000144363702
1;28;13;0,000146115845
1;28;14;0,000154887310
1;28;15;0,000159294542
1;28;16;0,000151501267
1;28;17;0,000144944166
1;28;18;0,000147115534
1;28;19;0,000164765958
1;28;20;0,000184329766
1;28;21;0,000199271355
1;28;22;0,000200797762
1;28;23;0,000178740107
1;28;24;0,000147180030
1;29;1;0,000120338916
1;29;2;0,000099753921
1;29;3;0,000088241372
1;29;4;0,000082447475
1;29;5;0,000080555591
1;29;6;0,000083103185
1;29;7;0,000095217697
1;29;8;0,000120779639
1;29;9;0,000132410430
1;29;10;0,000138537557
1;29;11;0,000144750678
1;29;12;0,000144363702
1;29;13;0,000146115845
1;29;14;0,000154887310
1;29;15;0,000159294542
1;29;16;0,000151501267
1;29;17;0,000144944166
1;29;18;0,000147115534
1;29;19;0,000164765958
1;29;20;0,000184329766
1;29;21;0,000199271355
1;29;22;0,000200797762
1;29;23;0,000178740107
1;29;24;0,000147180030
1;30;1;0,000120338916
1;30;2;0,000099753921
1;30;3;0,000088241372
1;30;4;0,000082447475
1;30;5;0,000080555591
1;30;6;0,000083103185
1;30;7;0,000095217697
1;30;8;0,000120779639
1;30;9;0,000132410430
1;30;10;0,000138537557
1;30;11;0,000144750678
1;30;12;0,000144363702
1;30;13;0,000146115845
1;30;14;0,000154887310
1;30;15;0,000159294542
1;30;16;0,000151501267
1;30;17;0,000144944166
1;30;18;0,000147115534
1;30;19;0,000164765958
1;30;20;0,000184329766
1;30;21;0,000199271355
1;30;22;0,000200797762
1;30;23;0,000178740107
1;30;24;0,000147180030
1;31;1;0,000123248080
1;31;2;0,000102415849
1;31;3;0,000090421535
1;31;4;0,000084368676
1;31;5;0,000082326301
1;31;6;0,000084888554
1;31;7;0,000096660064
1;31;8;0,000122245459
1;31;9;0,000134573980
1;31;10;0,000141777996
1;31;11;0,000148350732
1;31;12;0,000147979391
1;31;13;0,000149130548
1;31;14;0,000157002977
1;31;15;0,000161941812
1;31;16;0,000155034870
1;31;17;0,000148610670
